Machine,Processing Start,Processing End,Loading Start,Loading End
Machine 0,0.0,60.0,60.0,63.0
Machine 0,63.0,123.0,150.0,153.0
Machine 0,153.0,213.0,213.0,216.0
Machine 0,216.0,276.0,276.0,279.0
Machine 0,279.0,339.0,339.0,342.0
Machine 0,342.0,402.0,402.0,405.0
Machine 0,405.0,465.0,465.0,468.0
Machine 0,468.0,528.0,528.0,531.0
Machine 0,531.0,591.0,591.0,594.0
Machine 0,594.0,654.0,654.0,657.0
Machine 0,657.0,717.0,717.0,720.0
Machine 0,720.0,780.0,780.0,783.0
Machine 0,783.0,843.0,843.0,846.0
Machine 0,846.0,906.0,906.0,909.0
Machine 0,909.0,969.0,969.0,972.0
Machine 0,972.0,1032.0,1032.0,1035.0
Machine 0,1035.0,1095.0,1095.0,1098.0
Machine 0,1098.0,1158.0,1158.0,1161.0
Machine 0,1161.0,1221.0,1221.0,1224.0
Machine 0,1224.0,1284.0,1284.0,1287.0
Machine 0,1287.0,1347.0,1347.0,1350.0
Machine 0,1350.0,1410.0,1410.0,1413.0
Machine 0,1413.0,1473.0,1473.0,1476.0
Machine 0,1476.0,1536.0,1536.0,1539.0
Machine 0,1539.0,1599.0,1599.0,1602.0
Machine 0,1602.0,1662.0,1662.0,1665.0
Machine 0,1665.0,1725.0,1725.0,1728.0
Machine 0,1728.0,1788.0,1788.0,1791.0
Machine 0,1791.0,1851.0,1851.0,1854.0
Machine 0,1854.0,1914.0,1914.0,1917.0
Machine 0,1917.0,1977.0,1977.0,1980.0
Machine 0,1980.0,2040.0,2040.0,2043.0
Machine 0,2043.0,2103.0,2103.0,2106.0
Machine 0,2106.0,2166.0,2166.0,2169.0
Machine 0,2169.0,2229.0,2229.0,2232.0
Machine 0,2232.0,2292.0,2292.0,2295.0
Machine 0,2295.0,2355.0,2355.0,2358.0
Machine 0,2358.0,2418.0,2418.0,2421.0
Machine 0,2421.0,2481.0,2481.0,2484.0
Machine 0,2484.0,2544.0,2544.0,2547.0
Machine 0,2547.0,2607.0,2607.0,2610.0
Machine 0,2610.0,2670.0,2670.0,2673.0
Machine 0,2673.0,2733.0,2733.0,2736.0
Machine 0,2736.0,2796.0,2796.0,2799.0
Machine 0,2799.0,2859.0,2859.0,2862.0
Machine 0,2862.0,2922.0,2922.0,2925.0
Machine 0,2925.0,2985.0,2985.0,2988.0
Machine 0,2988.0,3048.0,3048.0,3051.0
Machine 0,3051.0,3111.0,3111.0,3114.0
Machine 0,3114.0,3174.0,3174.0,3177.0
Machine 0,3177.0,3237.0,3237.0,3240.0
Machine 0,3240.0,3300.0,3300.0,3303.0
Machine 0,3303.0,3363.0,3363.0,3366.0
Machine 0,3366.0,3426.0,3426.0,3429.0
Machine 0,3429.0,3489.0,3489.0,3492.0
Machine 0,3492.0,3552.0,3552.0,3555.0
Machine 0,3555.0,3615.0,3615.0,3618.0
Machine 0,3618.0,3678.0,3678.0,3681.0
Machine 0,3681.0,3741.0,3741.0,3744.0
Machine 0,3744.0,3804.0,3804.0,3807.0
Machine 0,3807.0,3867.0,3867.0,3870.0
Machine 0,3870.0,3930.0,3930.0,3933.0
Machine 0,3933.0,3993.0,3993.0,3996.0
Machine 0,3996.0,4056.0,4056.0,4059.0
Machine 0,4059.0,4119.0,4119.0,4122.0
Machine 0,4122.0,4182.0,4182.0,4185.0
Machine 0,4185.0,4245.0,4245.0,4248.0
Machine 0,4248.0,4308.0,4308.0,4311.0
Machine 0,4311.0,4371.0,4371.0,4374.0
Machine 0,4374.0,4434.0,4434.0,4437.0
Machine 0,4437.0,4497.0,4497.0,4500.0
Machine 0,4500.0,4560.0,4560.0,4563.0
Machine 0,4563.0,4623.0,4623.0,4626.0
Machine 0,4626.0,4686.0,4686.0,4689.0
Machine 0,4689.0,4749.0,4749.0,4752.0
Machine 0,4752.0,4812.0,4812.0,4815.0
Machine 0,4815.0,4875.0,4875.0,4878.0
Machine 0,4878.0,4938.0,4938.0,4941.0
Machine 0,4941.0,5001.0,5001.0,5004.0
Machine 0,5004.0,5064.0,5064.0,5067.0
Machine 0,5067.0,5127.0,5127.0,5130.0
Machine 0,5130.0,5190.0,5190.0,5193.0
Machine 0,5193.0,5253.0,5253.0,5256.0
Machine 0,5256.0,5316.0,5316.0,5319.0
Machine 0,5319.0,5379.0,5379.0,5382.0
Machine 0,5382.0,5442.0,5442.0,5445.0
Machine 0,5445.0,5505.0,5505.0,5508.0
Machine 0,5508.0,5568.0,5568.0,5571.0
Machine 0,5571.0,5631.0,5631.0,5634.0
Machine 0,5634.0,5694.0,5694.0,5697.0
Machine 0,5697.0,5757.0,5757.0,5760.0
Machine 0,5760.0,5820.0,5820.0,5823.0
Machine 0,5823.0,5883.0,5883.0,5886.0
Machine 0,5886.0,5946.0,5946.0,5949.0
Machine 0,5949.0,6009.0,6009.0,6012.0
Machine 0,6012.0,6072.0,6072.0,6075.0
Machine 0,6075.0,6135.0,6135.0,6138.0
Machine 0,6138.0,6198.0,6198.0,6201.0
Machine 0,6201.0,6261.0,6261.0,6264.0
Machine 0,6264.0,6324.0,6324.0,6327.0
