Machine,Processing Start,Processing End,Loading Start,Loading End
Machine 0,0.0,17.0,17.0,20.0
Machine 0,20.0,37.0,57.0,60.0
Machine 0,60.0,77.0,77.0,80.0
Machine 0,80.0,97.0,97.0,100.0
Machine 0,100.0,117.0,117.0,120.0
Machine 0,120.0,137.0,137.0,140.0
Machine 0,140.0,157.0,157.0,160.0
Machine 0,160.0,177.0,177.0,180.0
Machine 0,180.0,197.0,197.0,200.0
Machine 0,200.0,217.0,217.0,220.0
Machine 0,220.0,237.0,237.0,240.0
Machine 0,240.0,257.0,257.0,260.0
Machine 0,260.0,277.0,277.0,280.0
Machine 0,280.0,297.0,297.0,300.0
Machine 0,300.0,317.0,317.0,320.0
Machine 0,320.0,337.0,337.0,340.0
Machine 0,340.0,357.0,357.0,360.0
Machine 0,360.0,377.0,377.0,380.0
Machine 0,380.0,397.0,397.0,400.0
Machine 0,400.0,417.0,417.0,420.0
Machine 0,420.0,437.0,437.0,440.0
Machine 0,440.0,457.0,457.0,460.0
Machine 0,460.0,477.0,477.0,480.0
Machine 0,480.0,497.0,497.0,500.0
Machine 0,500.0,517.0,517.0,520.0
Machine 0,520.0,537.0,537.0,540.0
Machine 0,540.0,557.0,557.0,560.0
Machine 0,560.0,577.0,577.0,580.0
Machine 0,580.0,597.0,597.0,600.0
Machine 0,600.0,617.0,617.0,620.0
Machine 0,620.0,637.0,637.0,640.0
Machine 0,640.0,657.0,657.0,660.0
Machine 0,660.0,677.0,677.0,680.0
Machine 0,680.0,697.0,697.0,700.0
Machine 0,700.0,717.0,717.0,720.0
Machine 0,720.0,737.0,737.0,740.0
Machine 0,740.0,757.0,757.0,760.0
Machine 0,760.0,777.0,777.0,780.0
Machine 0,780.0,797.0,797.0,800.0
Machine 0,800.0,817.0,817.0,820.0
Machine 0,820.0,837.0,837.0,840.0
Machine 0,840.0,857.0,857.0,860.0
Machine 0,860.0,877.0,877.0,880.0
Machine 0,880.0,897.0,897.0,900.0
Machine 0,900.0,917.0,917.0,920.0
Machine 0,920.0,937.0,937.0,940.0
Machine 0,940.0,957.0,957.0,960.0
Machine 0,960.0,977.0,977.0,980.0
Machine 0,980.0,997.0,997.0,1000.0
Machine 0,1000.0,1017.0,1017.0,1020.0
Machine 0,1020.0,1037.0,1037.0,1040.0
Machine 0,1040.0,1057.0,1057.0,1060.0
Machine 0,1060.0,1077.0,1077.0,1080.0
Machine 0,1080.0,1097.0,1097.0,1100.0
Machine 0,1100.0,1117.0,1117.0,1120.0
Machine 0,1120.0,1137.0,1137.0,1140.0
Machine 0,1140.0,1157.0,1157.0,1160.0
Machine 0,1160.0,1177.0,1177.0,1180.0
Machine 0,1180.0,1197.0,1197.0,1200.0
Machine 0,1200.0,1217.0,1217.0,1220.0
Machine 0,1220.0,1237.0,1237.0,1240.0
Machine 0,1240.0,1257.0,1257.0,1260.0
Machine 0,1260.0,1277.0,1277.0,1280.0
Machine 0,1280.0,1297.0,1297.0,1300.0
Machine 0,1300.0,1317.0,1317.0,1320.0
Machine 0,1320.0,1337.0,1337.0,1340.0
Machine 0,1340.0,1357.0,1357.0,1360.0
Machine 0,1360.0,1377.0,1377.0,1380.0
Machine 0,1380.0,1397.0,1397.0,1400.0
Machine 0,1400.0,1417.0,1417.0,1420.0
Machine 0,1420.0,1437.0,1437.0,1440.0
Machine 0,1440.0,1457.0,1457.0,1460.0
Machine 0,1460.0,1477.0,1477.0,1480.0
Machine 0,1480.0,1497.0,1497.0,1500.0
Machine 0,1500.0,1517.0,1517.0,1520.0
Machine 0,1520.0,1537.0,1537.0,1540.0
Machine 0,1540.0,1557.0,1557.0,1560.0
Machine 0,1560.0,1577.0,1577.0,1580.0
Machine 0,1580.0,1597.0,1597.0,1600.0
Machine 0,1600.0,1617.0,1617.0,1620.0
Machine 0,1620.0,1637.0,1637.0,1640.0
Machine 0,1640.0,1657.0,1657.0,1660.0
Machine 0,1660.0,1677.0,1677.0,1680.0
Machine 0,1680.0,1697.0,1697.0,1700.0
Machine 0,1700.0,1717.0,1717.0,1720.0
Machine 0,1720.0,1737.0,1737.0,1740.0
Machine 0,1740.0,1757.0,1757.0,1760.0
Machine 0,1760.0,1777.0,1777.0,1780.0
Machine 0,1780.0,1797.0,1797.0,1800.0
Machine 0,1800.0,1817.0,1817.0,1820.0
Machine 0,1820.0,1837.0,1837.0,1840.0
Machine 0,1840.0,1857.0,1857.0,1860.0
Machine 0,1860.0,1877.0,1877.0,1880.0
Machine 0,1880.0,1897.0,1897.0,1900.0
Machine 0,1900.0,1917.0,1917.0,1920.0
Machine 0,1920.0,1937.0,1937.0,1940.0
Machine 0,1940.0,1957.0,1957.0,1960.0
Machine 0,1960.0,1977.0,1977.0,1980.0
Machine 0,1980.0,1997.0,1997.0,2000.0
Machine 0,2000.0,2017.0,2017.0,2020.0
Machine 0,2020.0,2037.0,2037.0,2040.0
Machine 0,2040.0,2057.0,2057.0,2060.0
Machine 0,2060.0,2077.0,2077.0,2080.0
Machine 0,2080.0,2097.0,2097.0,2100.0
Machine 0,2100.0,2117.0,2117.0,2120.0
Machine 0,2120.0,2137.0,2137.0,2140.0
Machine 0,2140.0,2157.0,2157.0,2160.0
Machine 0,2160.0,2177.0,2177.0,2180.0
Machine 0,2180.0,2197.0,2197.0,2200.0
Machine 0,2200.0,2217.0,2217.0,2220.0
Machine 0,2220.0,2237.0,2237.0,2240.0
Machine 0,2240.0,2257.0,2257.0,2260.0
Machine 0,2260.0,2277.0,2277.0,2280.0
Machine 0,2280.0,2297.0,2297.0,2300.0
Machine 0,2300.0,2317.0,2317.0,2320.0
Machine 0,2320.0,2337.0,2337.0,2340.0
Machine 0,2340.0,2357.0,2357.0,2360.0
Machine 0,2360.0,2377.0,2377.0,2380.0
Machine 0,2380.0,2397.0,2397.0,2400.0
Machine 0,2400.0,2417.0,2417.0,2420.0
Machine 0,2420.0,2437.0,2437.0,2440.0
Machine 0,2440.0,2457.0,2457.0,2460.0
Machine 0,2460.0,2477.0,2477.0,2480.0
Machine 0,2480.0,2497.0,2497.0,2500.0
Machine 0,2500.0,2517.0,2517.0,2520.0
Machine 0,2520.0,2537.0,2537.0,2540.0
Machine 0,2540.0,2557.0,2557.0,2560.0
Machine 0,2560.0,2577.0,2577.0,2580.0
Machine 0,2580.0,2597.0,2597.0,2600.0
Machine 0,2600.0,2617.0,2617.0,2620.0
Machine 0,2620.0,2637.0,2637.0,2640.0
Machine 0,2640.0,2657.0,2657.0,2660.0
Machine 0,2660.0,2677.0,2677.0,2680.0
Machine 0,2680.0,2697.0,2697.0,2700.0
Machine 0,2700.0,2717.0,2717.0,2720.0
Machine 0,2720.0,2737.0,2737.0,2740.0
Machine 0,2740.0,2757.0,2757.0,2760.0
Machine 0,2760.0,2777.0,2777.0,2780.0
Machine 0,2780.0,2797.0,2797.0,2800.0
Machine 0,2800.0,2817.0,2817.0,2820.0
Machine 0,2820.0,2837.0,2837.0,2840.0
Machine 0,2840.0,2857.0,2857.0,2860.0
Machine 0,2860.0,2877.0,2877.0,2880.0
Machine 0,2880.0,2897.0,2897.0,2900.0
Machine 0,2900.0,2917.0,2917.0,2920.0
Machine 0,2920.0,2937.0,2937.0,2940.0
Machine 0,2940.0,2957.0,2957.0,2960.0
Machine 0,2960.0,2977.0,2977.0,2980.0
Machine 0,2980.0,2997.0,2997.0,3000.0
Machine 0,3000.0,3017.0,3017.0,3020.0
Machine 0,3020.0,3037.0,3037.0,3040.0
Machine 0,3040.0,3057.0,3057.0,3060.0
Machine 0,3060.0,3077.0,3077.0,3080.0
Machine 0,3080.0,3097.0,3097.0,3100.0
Machine 0,3100.0,3117.0,3117.0,3120.0
Machine 0,3120.0,3137.0,3137.0,3140.0
Machine 0,3140.0,3157.0,3157.0,3160.0
Machine 0,3160.0,3177.0,3177.0,3180.0
Machine 0,3180.0,3197.0,3197.0,3200.0
Machine 0,3200.0,3217.0,3217.0,3220.0
Machine 0,3220.0,3237.0,3237.0,3240.0
Machine 0,3240.0,3257.0,3257.0,3260.0
Machine 0,3260.0,3277.0,3277.0,3280.0
Machine 0,3280.0,3297.0,3297.0,3300.0
Machine 0,3300.0,3317.0,3317.0,3320.0
Machine 0,3320.0,3337.0,3337.0,3340.0
Machine 0,3340.0,3357.0,3357.0,3360.0
Machine 0,3360.0,3377.0,3377.0,3380.0
Machine 0,3380.0,3397.0,3397.0,3400.0
Machine 0,3400.0,3417.0,3417.0,3420.0
Machine 0,3420.0,3437.0,3437.0,3440.0
Machine 0,3440.0,3457.0,3457.0,3460.0
Machine 0,3460.0,3477.0,3477.0,3480.0
Machine 0,3480.0,3497.0,3497.0,3500.0
Machine 0,3500.0,3517.0,3517.0,3520.0
Machine 0,3520.0,3537.0,3537.0,3540.0
Machine 0,3540.0,3557.0,3557.0,3560.0
Machine 0,3560.0,3577.0,3577.0,3580.0
Machine 0,3580.0,3597.0,3597.0,3600.0
Machine 0,3600.0,3617.0,3617.0,3620.0
Machine 0,3620.0,3637.0,3637.0,3640.0
Machine 0,3640.0,3657.0,3657.0,3660.0
Machine 0,3660.0,3677.0,3677.0,3680.0
Machine 0,3680.0,3697.0,3697.0,3700.0
Machine 0,3700.0,3717.0,3717.0,3720.0
Machine 0,3720.0,3737.0,3737.0,3740.0
Machine 0,3740.0,3757.0,3757.0,3760.0
Machine 0,3760.0,3777.0,3777.0,3780.0
Machine 0,3780.0,3797.0,3797.0,3800.0
Machine 0,3800.0,3817.0,3817.0,3820.0
Machine 0,3820.0,3837.0,3837.0,3840.0
Machine 0,3840.0,3857.0,3857.0,3860.0
Machine 0,3860.0,3877.0,3877.0,3880.0
Machine 0,3880.0,3897.0,3897.0,3900.0
Machine 0,3900.0,3917.0,3917.0,3920.0
Machine 0,3920.0,3937.0,3937.0,3940.0
Machine 0,3940.0,3957.0,3957.0,3960.0
Machine 0,3960.0,3977.0,3977.0,3980.0
Machine 0,3980.0,3997.0,3997.0,4000.0
Machine 0,4000.0,4017.0,4017.0,4020.0
Machine 0,4020.0,4037.0,4037.0,4040.0
Machine 0,4040.0,4057.0,4057.0,4060.0
