Machine,Processing Start,Processing End,Loading Start,Loading End
Machine 0,0.0,10.0,10.0,12.0
Machine 0,12.0,22.0,34.0,36.0
Machine 0,36.0,46.0,46.0,48.0
Machine 0,48.0,58.0,58.0,60.0
Machine 0,60.0,70.0,70.0,72.0
Machine 0,72.0,82.0,82.0,84.0
Machine 0,84.0,94.0,94.0,96.0
Machine 0,96.0,106.0,106.0,108.0
Machine 0,108.0,118.0,118.0,120.0
Machine 0,120.0,130.0,130.0,132.0
Machine 0,132.0,142.0,142.0,144.0
Machine 0,144.0,154.0,154.0,156.0
Machine 0,156.0,166.0,166.0,168.0
Machine 0,168.0,178.0,178.0,180.0
Machine 0,180.0,190.0,190.0,192.0
Machine 0,192.0,202.0,202.0,204.0
Machine 0,204.0,214.0,214.0,216.0
Machine 0,216.0,226.0,226.0,228.0
Machine 0,228.0,238.0,238.0,240.0
Machine 0,240.0,250.0,250.0,252.0
Machine 0,252.0,262.0,262.0,264.0
Machine 0,264.0,274.0,274.0,276.0
Machine 0,276.0,286.0,286.0,288.0
Machine 0,288.0,298.0,298.0,300.0
Machine 0,300.0,310.0,310.0,312.0
Machine 0,312.0,322.0,322.0,324.0
Machine 0,324.0,334.0,334.0,336.0
Machine 0,336.0,346.0,346.0,348.0
Machine 0,348.0,358.0,358.0,360.0
Machine 0,360.0,370.0,370.0,372.0
Machine 0,372.0,382.0,382.0,384.0
Machine 0,384.0,394.0,394.0,396.0
Machine 0,396.0,406.0,406.0,408.0
Machine 0,408.0,418.0,418.0,420.0
Machine 0,420.0,430.0,430.0,432.0
Machine 0,432.0,442.0,442.0,444.0
Machine 0,444.0,454.0,454.0,456.0
Machine 0,456.0,466.0,466.0,468.0
Machine 0,468.0,478.0,478.0,480.0
Machine 0,480.0,490.0,490.0,492.0
Machine 0,492.0,502.0,502.0,504.0
Machine 0,504.0,514.0,514.0,516.0
Machine 0,516.0,526.0,526.0,528.0
Machine 0,528.0,538.0,538.0,540.0
Machine 0,540.0,550.0,550.0,552.0
Machine 0,552.0,562.0,562.0,564.0
Machine 0,564.0,574.0,574.0,576.0
Machine 0,576.0,586.0,586.0,588.0
Machine 0,588.0,598.0,598.0,600.0
Machine 0,600.0,610.0,610.0,612.0
Machine 0,612.0,622.0,622.0,624.0
Machine 0,624.0,634.0,634.0,636.0
Machine 0,636.0,646.0,646.0,648.0
Machine 0,648.0,658.0,658.0,660.0
Machine 0,660.0,670.0,670.0,672.0
Machine 0,672.0,682.0,682.0,684.0
Machine 0,684.0,694.0,694.0,696.0
Machine 0,696.0,706.0,706.0,708.0
Machine 0,708.0,718.0,718.0,720.0
Machine 0,720.0,730.0,730.0,732.0
Machine 0,732.0,742.0,742.0,744.0
Machine 0,744.0,754.0,754.0,756.0
Machine 0,756.0,766.0,766.0,768.0
Machine 0,768.0,778.0,778.0,780.0
Machine 0,780.0,790.0,790.0,792.0
Machine 0,792.0,802.0,802.0,804.0
Machine 0,804.0,814.0,814.0,816.0
Machine 0,816.0,826.0,826.0,828.0
Machine 0,828.0,838.0,838.0,840.0
Machine 0,840.0,850.0,850.0,852.0
Machine 0,852.0,862.0,862.0,864.0
Machine 0,864.0,874.0,874.0,876.0
Machine 0,876.0,886.0,886.0,888.0
Machine 0,888.0,898.0,898.0,900.0
Machine 0,900.0,910.0,910.0,912.0
Machine 0,912.0,922.0,922.0,924.0
Machine 0,924.0,934.0,934.0,936.0
Machine 0,936.0,946.0,946.0,948.0
Machine 0,948.0,958.0,958.0,960.0
Machine 0,960.0,970.0,970.0,972.0
Machine 0,972.0,982.0,982.0,984.0
Machine 0,984.0,994.0,994.0,996.0
Machine 0,996.0,1006.0,1006.0,1008.0
Machine 0,1008.0,1018.0,1018.0,1020.0
Machine 0,1020.0,1030.0,1030.0,1032.0
Machine 0,1032.0,1042.0,1042.0,1044.0
Machine 0,1044.0,1054.0,1054.0,1056.0
Machine 0,1056.0,1066.0,1066.0,1068.0
Machine 0,1068.0,1078.0,1078.0,1080.0
Machine 0,1080.0,1090.0,1090.0,1092.0
Machine 0,1092.0,1102.0,1102.0,1104.0
Machine 0,1104.0,1114.0,1114.0,1116.0
Machine 0,1116.0,1126.0,1126.0,1128.0
Machine 0,1128.0,1138.0,1138.0,1140.0
Machine 0,1140.0,1150.0,1150.0,1152.0
Machine 0,1152.0,1162.0,1162.0,1164.0
Machine 0,1164.0,1174.0,1174.0,1176.0
Machine 0,1176.0,1186.0,1186.0,1188.0
Machine 0,1188.0,1198.0,1198.0,1200.0
Machine 0,1200.0,1210.0,1210.0,1212.0
Machine 0,1212.0,1222.0,1222.0,1224.0
Machine 0,1224.0,1234.0,1234.0,1236.0
Machine 0,1236.0,1246.0,1246.0,1248.0
Machine 0,1248.0,1258.0,1258.0,1260.0
Machine 0,1260.0,1270.0,1270.0,1272.0
Machine 0,1272.0,1282.0,1282.0,1284.0
Machine 0,1284.0,1294.0,1294.0,1296.0
Machine 0,1296.0,1306.0,1306.0,1308.0
Machine 0,1308.0,1318.0,1318.0,1320.0
Machine 0,1320.0,1330.0,1330.0,1332.0
Machine 0,1332.0,1342.0,1342.0,1344.0
Machine 0,1344.0,1354.0,1354.0,1356.0
Machine 0,1356.0,1366.0,1366.0,1368.0
Machine 0,1368.0,1378.0,1378.0,1380.0
Machine 0,1380.0,1390.0,1390.0,1392.0
Machine 0,1392.0,1402.0,1402.0,1404.0
Machine 0,1404.0,1414.0,1414.0,1416.0
